Run, Good, Bad, LDelivered, LRecorded, LAr Corrected, Prescale Corrected, Live Fraction, LAr Fraction, Prescale Fraction
331239, 928, 0, 519.466000, 499.250000, 499.212000, 499.212000, 96.11, 99.99, 100.00
331697, 143, 0, 105.643000, 101.981000, 101.937000, 101.937000, 96.53, 99.96, 100.00
331710, 726, 0, 439.823000, 421.846000, 421.747000, 421.747000, 95.91, 99.98, 100.00
331742, 896, 0, 492.034000, 466.851000, 466.832000, 466.832000, 94.88, 100.00, 100.00
331772, 74, 0, 63.561400, 60.007300, 59.977800, 59.977800, 94.41, 99.95, 100.00
331804, 878, 0, 523.661200, 509.123300, 508.792200, 508.792200, 97.22, 99.93, 100.00
331825, 847, 0, 496.255200, 473.218700, 473.080600, 473.080600, 95.36, 99.97, 100.00
331860, 560, 0, 358.789000, 348.589000, 348.529000, 348.529000, 97.16, 99.98, 100.00
331875, 1013, 0, 556.945700, 523.508000, 523.273400, 523.273400, 94.00, 99.96, 100.00
331905, 59, 0, 46.092300, 43.601800, 43.580600, 43.580600, 94.60, 99.95, 100.00
331951, 130, 0, 101.969400, 92.363300, 92.315500, 92.315500, 90.58, 99.95, 100.00
